Locatie,Tel_nummer,Adres,Email
Hartdokters BV Dr. F.P. van Rugge Locatie Bergen,06 53 54 14 87,Dokter van Peltlaan 29 1861KB BERGEN NH,Not available
Cardiologie Centrum IJmond,085 303 8620,Scheldestraat 101 1972TL IJMUIDENZorgcentrum Velserduin,Not available
Spaarne Gasthuis Locatie Haarlem-Noord Maatschap Cardiologie,023 224 0010,Vondelweg 999 2026BW HAARLEMLocatie Haarlem Noord,Not available
MKIN Locatie Haarlem Cardiologie,020 261 2560,A. Hofmanweg 5 a2031BH HAARLEM,Not available
Medisch Specialistische Coöperatie Kennemerland (MSCK) Boerhaavelaan,023 224 0020,Boerhaavelaan 22 2035RC HAARLEM,evermeul@spaarnegasthuis.nl
Spaarne Gasthuis Locatie Haarlem-Zuid Maatschap Cardiologen,023 224 0010,Boerhaavelaan 22 2035RC HAARLEMLocatie Haarlem Zuid,Not available
Hartkliniek Flevoland Locatie Zandvoort,088 500 2000,Thomsonstraat 1 2041TA ZANDVOORTLocatie Zandvoort,Not available
MKIN Locatie Hoofddorp Cardiologie,020 261 2560,Saturnusstraat 46 -622132HB HOOFDDORP,Not available
Hartdokters BV Locatie Heilige Geestweg 28a Noordwijk,020 786 9446,Heilige Geestweg 28 a2201JS NOORDWIJK ZHLocatie Noordwijk,ecg@hartdokters.nl
Hartdokters BV Dr. F.P. van Rugge Locatie Noordwijk,06 53 54 14 87,Heilige Geestweg 28 A2201JS NOORDWIJK ZHHuisartsenpraktijk ​het Atrium,Not available
Dhr. dr. H.F.J. Mannaerts,0252 514 853,Walserij 66 2211SL NOORDWIJKERHOUTFit met zorg,hfj.mannaerts@gmail.com
MKIN Locatie Wassenaar Cardiologie,020 261 2560,Papeweg 1 a2245AD WASSENAAR,Not available
Hartkliniek Flevoland Locatie Den Haag,088 500 2000,Laan van Oversteen 2 182289CX RIJSWIJK ZH,Not available
Hartdokters BV Dr. F.P. van Rugge Locatie Kwintsheul,06 53 54 14 87,Leeuwerik 1 C2295PE KWINTSHEUL,Not available
Hartdokters BV Locatie Hof van Roomburgh 51 Leiden,020 786 9446,Hof van Roomburgh 51 2314ZC LEIDENLocatie Leiden,ecg@hartdokters.nl
MKIN Locatie Leiden Cardiologie,020 261 2560,Kanaalpark 157 2321JW LEIDENDe keuring vindt plaats in het Gezondheidscentrum De Plek,Not available
MKIN Locatie Alphen a/d Rijn Cardiologie,020 261 2560,Baronie 54 2404XG ALPHEN AAN DEN RIJN,Not available
Hartdokters BV Dr. F.P. van Rugge Locatie Rijnsaterwoude,06 53 54 14 87,Herenweg 167 2465AH RIJNSATERWOUDE,Not available
Hartdokters BV Locatie Lorentzplein Den Haag,020 786 9446,Lorentzplein 51 2522EE 'S-GRAVENHAGE,ecg@hartdokters.nl
MKIN Locatie Den Haag/Rijswijk Cardiologie,020 261 2560,Platinaweg 25 2544EZ 'S-GRAVENHAGEDe keuring vindt plaats in het Gezondheidscentrum Vitaal,Not available
Hartdokters B.V. Locatie De La Reyweg Den Haag,020 786 9446,De La Reyweg 168 2571GG 'S-GRAVENHAGE,ecg@hartdokters.nl
Hartdokters BV Dr. F.P. van Rugge Locatie Naaldwijk,06 53 54 14 87,Schaepmanstraat 38 A2672AS NAALDWIJK,Not available
MKIN Locatie Zoetermeer Cardiologie,020 261 2560,Louis Braillelaan 80 2719EK ZOETERMEER,info@mkin.nl
"Groene Hart Ziekenhuis, Poli Cardiologie",0182 505 010,Bleulandweg 10 2803HH GOUDA,Not available
MKIN Locatie Gouda Cardiologie,020 261 2560,Kampenringweg 45 d2803PE GOUDA,Not available
MKIN Locatie Capelle a/d IJssel Cardiologie,020 261 2560,Kanaalweg 33 2903LR CAPELLE AAN DEN IJSSEL,Not available
MKIN Locatie Rotterdam Cardiologie,020 261 2560,Rotterdam Airportplein 22 3045AP ROTTERDAM1e verdieping,Not available
Maasstad Ziekenhuis Afdeling Cardiologie,010 291 2250,Maasstadweg 21 3079DZ ROTTERDAM,Not available
Spijkenisse Medisch Centrum Locatie Rozenburg,0181 658 363,Blankenburg 6 3181BC ROZENBURG ZH,Not available
Spijkenisse Medisch Centrum,0181 658 363,Ruwaard van Puttenweg 500 3201GZ SPIJKENISSE,Not available
MKIN Locatie Dordrecht Cardiologie,020 261 2560,Van Neurenburgpad 2 a3311DN DORDRECHT,Not available
Albert Schweitzer Ziekenhuis Maatschap Cardiologie,078 652 3360,Langeweg 336 3331LZ ZWIJNDRECHT,Not available
MKIN Locatie Vleuten Cardiologie,020 261 2560,Nieuwe Vaart 1 3451AH VLEUTEN,Not available
MKIN Locatie Utrecht Cardiologie,020 261 2560,Winthontlaan 200 3526KV UTRECHT,info@mkin.nl
Cardiologie Centrum Utrecht,0308908700,Herculesplein 379 3584AA UTRECHTCardiologie Centrum Utrecht,Not available
Dhr. prof. J.M. Hartog,06 50 25 33 67,Jagersingel 1 3707HL ZEISTDiakonessenhuis,hhartog@diakhuis.nl
Hartdokters B.V. Locatie Hermesweg 15 Baarn,020 786 9446,Hermesweg 15 3741GP BAARN,ecg@hartdokters.nl
Ziekenhuis Gelderse Vallei Locatie Barneveld Maatschap Cardiologen,0318 434 345,Klaverweide 1 a3773AW BARNEVELDSpreekuurcentrum Barneveld,Not available
MKIN Locatie Amersfoort Cardiologie,020 261 2560,Databankweg 26 3821AL AMERSFOORT,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Van 't Hoffstraat 1 3863AX NIJKERK GLDLocatie Nijkerk,Not available
Ziekenhuis Gelderse Vallei Locatie Veenendaal Maatschap Cardiologen,0318 434 345,Spoorlaan 5 3903XS VEENENDAALSpreekuurcentrum Veenendaal,Not available
CardioExpert bv Locatie Bunnik,06 40 90 79 82,Regulierenring 8 3981LB BUNNIKBedrijfsterrein Machinefabriek L. Raak,info@cardioexpert.nl
Ziekenhuis Rivierenland Maatschap Cardiologie,0344 674 052,Pr. Kennedylaan 1 4002WP TIEL,Not available
MKIN locatie Vianen Cardiologie,020 261 2560,Lange Dreef 11 4131NJ VIANEN UT,Not available
Admiraal De Ruyter Ziekenhuis Locatie Zierikzee Maatschap Cardiologie,088 125 7305,Koning Gustaafweg 2 4301NP ZIERIKZEELocatie Zierikzee,Not available
Cardiologie Centrum Zeeland Maatschap Cardiologie,0118 689 340,"Buitenruststraat 16 4337EH MIDDELBURGDe keuringen vinden plaats op de begane grond of de 1e etage.  U kunt bij de deur aanbellen, waarna wij de deur kunnen openen voor  u.",Not available
Admiraal De Ruyter Ziekenhuis Locatie Vlissingen Maatschap Cardiologie,088 125 7305,Koudekerkseweg 88 4382EE VLISSINGENLocatie Vlissingen,Not available
MKIN Locatie Vlissingen Cardiologie,020 261 2560,Industrieweg 1 -34382NA VLISSINGEN,Not available
Admiraal De Ruyter Ziekenhuis Locatie Goes Maatschap Cardiologie,088 125 7305,'s-Gravenpolderseweg 114 4462RA GOESLocatie Goes,Not available
Zorgsaam Locatie de Honte-Terneuzen Maatschap Cardiologie,0115 688 487,Wielingenlaan 2 4535PA TERNEUZENLocatie De Honte,Not available
MKIN Locatie Bergen op Zoom Cardiologie,020 261 2560,Zuidzijde Haven 39 a4611HC BERGEN OP ZOOM,Not available
MKIN Locatie Roosendaal Cardiologie,020 261 2560,Laan van Brabant 22 4701BK ROOSENDAAL,Not available
MKIN Locatie Breda Cardiologie,020 261 2560,Verlengde Poolseweg 16 4818CL BREDA,Not available
"ETZ, Locatie Elisabeth Tilburg Vakgroep Cardiologie",013 221 0030,Hilvarenbeekseweg 60 5022GC TILBURG,Not available
MKIN Locatie Tilburg Cardiologie,020 261 2560,Hart van Brabantlaan 12 -145038JL TILBURG,Not available
ETZ Locatie TweeSteden Maatschap Cardiologie,013 221 0030,Dr. Deelenlaan 5 5042AD TILBURG,Not available
ETZ Locatie Oisterwijk Maatschap Cardiologen,013 221 0000,Moergestelseweg 32 g5062JW OISTERWIJKETZ Oisterwijk,Not available
ETZ Locatie Waalwijk Maatschap Cardiologen,013 221 0030,Kasteellaan 2 5141BM WAALWIJKETZ Waalwijk,Not available
MKIN Locatie Den Bosch Cardiologie,020 261 2560,Pettelaarpark 84 5216PP 'S-HERTOGENBOSCH,Not available
Dhr. drs. H.C. Klomps,06 12 80 06 40,Pastoor Verhoevenstraat 31 5236AZ 'S-HERTOGENBOSCHHuisartsenpraktijk Het Schild,Not available
Dhr. drs. L.H.R. Bouwels,06 55 10 78 58,Langakker 5 5371EV RAVENSTEINDe keuring vindt plaats bij de sportgeneeskunde.,lbouwels@gmail.com
Elkerliek Ziekenhuis Locatie Gemert Maatschap Cardiologie,0492595555,Julianastraat 2 5421DB GEMERT,Not available
Dhr. dr. J. Hoogsteen,06 53 20 57 74,Torenstraat 4 5554NK VALKENSWAARDOsteopathie Noteboom,janhoogsteen@ancora.health
MKIN Locatie Eindhoven Cardiologie,020 261 2560,Flight Forum 40 5657DB EINDHOVEN,Not available
"Anna Zorggroep, Afdeling MSBA Vaatchirurgie",Not available,Bogardeind 2 5664EH GELDROP,poli.chirurgie@st-anna.nl
Elkerliek Ziekenhuis Locatie Helmond Maatschap Cardiologie,0492 595 962,Wesselmanlaan 25 5707HA HELMOND,Not available
Elkerliek Ziekenhuis Locatie Asten Maatschap Cardiologie,0492 595 962,Floralaan 30 5721CV ASTEN,Not available
Elkerliek Ziekenhuis Locatie Deurne Maatschap Cardiologie,0493 328 922,Dunantweg 16 5751CB DEURNE,Not available
MKIN Locatie Venlo Cardiologie,020 261 2560,Kaldenkerkerweg 20 5913AE VENLO,Not available
MKIN Locatie Weert Cardiologie,020 261 2560,Vogelsbleek 5 6001BE WEERT,Not available
MKIN Locatie Roermond Cardiologie,020 261 2560,Kapellerpoort 1 6041HZ ROERMOND,Not available
Zuyderland Medisch Centrum Locatie Sittard Maatschap Cardiologie,088 459 9701,Dr.H. van der Hoffplein 1 6162BG SITTARDLocatie Sittard-Geleen,Not available
MKIN Locatie Sittard Cardiologie,020 261 2560,Transportlaan 1 1516163CX GELEEN,Not available
MKIN Locatie Maastricht Cardiologie,020 261 2560,Dousberweg 4 6216GC MAASTRICHT,Not available
MKIN Locatie Geleen Cardiologie,020 261 2560,Robert Schumandomein 2 6229ES MAASTRICHT,Not available
MKIN Locatie Heerlen Cardiologie,020 261 25 60,Burg. de Hesselleplein 31 6411CH HEERLEN,Not available
Dhr. drs. L.H.B. Baur,045 574 0991,Akerstraat 81 6417BJ HEERLEN,Not available
Zuyderland Medisch Centrum Locatie Heerlen Maatschap Cardiologie,088 459 9701,Henri Dunantstraat 5 6419PC HEERLENLocatie Heerlen,Not available
Hartkliniek Flevoland Locatie Nijmegen,088 500 2000,Hertogstraat 130 6511SG NIJMEGEN,Not available
Canisius-Wilhelmina Ziekenhuis Maatschap Cardiologie,024 365 8250,"Weg door Jonkerbos 100 6532SZ NIJMEGENPolikliniek cardiologie B18, melden bij meldpunt 1B",Not available
MKIN Locatie Nijmegen Cardiologie,020 261 2560,Jonkerbosplein 52 6534AB NIJMEGEN,Not available
Dhr. drs. L.H.R. Bouwels,06 55 10 78 58,Korte Bredestraat 50 6543ZS NIJMEGEN,lbouwels@gmail.com
Dhr. drs. L.H.R. Bouwels,06 55 10 78 58,Loksheuvelseweg 5 6611KD OVERASSELT,Not available
Ziekenhuis Gelderse Vallei Locatie Wageningen Maatschap Cardiologen,0318 434 345,Plantsoen 57 6701AS WAGENINGENSpreekuurcentrum Wageningen,Not available
Ziekenhuis Gelderse Vallei Locatie Ede Maatschap Cardiologen,0318 434 345,Willy Brandtlaan 10 6716RP EDELocatie Ede,Not available
MKIN Locatie Arnhem Cardiologie,020 261 2560,Nieuwe Stationsstraat 20 6811KS ARNHEM,Not available
MKIN Locatie Zutphen Cardiologie,020 261 2560,Piet Heinstraat 11 7204JN ZUTPHEN,Not available
"Gelre Ziekenhuis, Locatie Zutphen Maatschap Cardiologie",0575 592 808,Den Elterweg 77 7207AE ZUTPHENLocatie Zutphen,Not available
MKIN Locatie Apeldoorn Cardiologie,020 261 2560,Het Rietveld 55 a7321CT APELDOORN,Not available
MKIN Locatie Deventer Cardiologie,020 261 2560,Keulenstraat 12 7418ET DEVENTER,Not available
"Medisch Spectrum Twente, Locatie Enschede Maatschap Cardiologie",053 487 2110,Koningsplein 1 7512KZ ENSCHEDELocatie Enschede,Not available
MKIN Locatie Enschede Cardiologie,020 261 2560,Capitool 10 7521PL ENSCHEDE,Not available
Chirco Locatie Hengelo,088 708 5243,Geerdinksweg 141 7555DL HENGELO OV,j.botman@zgt.nl
MKIN Locatie Almelo Cardiologie,020 261 2560,Bedrijvenpark Twente 305 7602KL ALMELO,Not available
Chirco Locatie Almelo,058 708 5243,Zilvermeeuw 1 7609PP ALMELO,j.botman@zgt.nl
Dhr. drs. L.M. van Beek,06 20 13 96 99,Pastoriestraat 1 7721CT DALFSENWooncentrum Rosengaerde,Not available
Saxenburgh Medisch Centrum Locatie Coevorden Vakgroep Cardiologen,0524 526 000,Burg Feithsingel 2 7742BP COEVORDENDe keuring vindt plaats in het Gezondheidscentrum de Veltstroom,Not available
Saxenburgh Medisch Centrum Vakgroep Cardiologie,0523 276 340,Jan Weitkamplaan 4 A7772SE HARDENBERGRöpcke-Zweers Ziekenhuis,Not available
MKIN Locatie Emmen Cardiologie,020 261 2560,Hoenderkamp 20 7812VZ EMMEN,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Statenweg 107 7824CW EMMENCultureel Centrum de Marke,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Kemperstraat 2 7901CB HOOGEVEENVerzorgingshuis Olden Kinholt,Not available
MKIN Locatie Hoogeveen Cardiologie,020 261 2560,De Vos van Steenwijklaan 75 7902NP HOOGEVEEN,Not available
MKIN Locatie Meppel Cardiologie,020 261 2560,Zuideinde 18 A7941GH MEPPEL,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Groen van Prinstererstr 1 a7942CW MEPPELWijkcentrum de Poele,Not available
Isala Diaconessenhuis Locatie Meppel Maatschap Cardiologen,088 624 9632,Reggersweg 2 7943KC MEPPEL,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Berkenlaan 1 7951CA STAPHORSTDienstencentrum Staphorst,Not available
MKIN Locatie Zwolle Cardiologie,020 261 2560,Grote Voort 293 a8041BL ZWOLLE,Not available
MKIN Locatie Lelystad Cardiologie,020 261 2560,Zaanstraat 6 N8226ND LELYSTAD,Not available
HartKliniek Flevoland Locatie Lelystad,088 500 2000,Middenweg 15 8232JT LELYSTADLocatie Lelystad,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,De Heraldiek 2 8255DM SWIFTERBANTDorpshuis de Steiger,Not available
Isala Diaconessenhuis Locatie Steenwijk Maatschap Cardiologen,088 624 9632,Sluisweg 2 8332JC STEENWIJKLocatie Steenwijk,Not available
Ziekenhuis De Tjongerschans Maatschap Cardiologie,0513 685 600,Thialfweg 44 8441PW HEERENVEEN,Not available
MKIN Locatie Heerenveen Cardiologie,020 261 2560,It Hege Stik 1 8445PZ HEERENVEENDe keuring vindt plaats in het Gezondheidscentrum Fysiotherapie Tigra,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Harddraversweg 4 8501CM JOURE,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Harmen Systrastraat 8 A8602TM SNEEKLocatie Sneek,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Botniasteeg 5 8801KJ FRANEKERWoonzorgcentrum Botniahuis,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Joh. V. Oldenbarneveltstr. 2 8862BB HARLINGEN,Not available
MKIN Locatie Leeuwarden Cardiologie,020 261 2560,James Wattstraat 4 8912AR LEEUWARDENDe keuring vindt plaats in het Bedrijfsverzamelgebouw De Fabriek,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Lieuwenburg 2 8925CK LEEUWARDEN,Not available
MKIN Locatie Assen Cardiologie,020 261 2560,Stationsplein 10 9401LB ASSEN,Not available
Dhr. drs. L.M. van Beek,06 20 13 96 99,Boddeveld 1 9461JA GIETENWoonzorgcomplex Dekelhem,Not available
MKIN Locatie Groningen Cardiologie,020 261 2560,Paterswoldseweg 806 9728BM GRONINGEN,Not available
