Locatie,Tel_nummer,Adres,Email
Neurologenpraktijk Midden-Nederland UtrechtMaatschap Neurologen,088 320 3925,Soestwetering 1 3543AZ UTRECHTLocatie Leidsche Rijn,Not available
WV Health Consultansy,030 233 3937,"Eykmanlaan 433 3571JR UTRECHTGZC Prinsenhof, 1e verdieping. Gratis parkeergelegenheid aanwezig naast het gezondheidscentrum  Openbaar vervoer: Buslijn 55 stopt bij halte de Lichtkring en Prof.Dieperinklaan, Buslijn 7 stopt bij winkelcentrum de Gaard",Not available
Diakonessenhuis UtrechtNeurologie,088 250 5303,Bosboomstraat 1 3582KE UTRECHTDiakonessenhuis Utrecht Polikliniek Cardiologie,Not available
RijbewijsBelang Locatie Breukelen Neurologie,Not available,De Corridor 5 C3621ZA BREUKELEN UTRegus Breukelen,info@rijbewijsbelang.nl
Meander Medisch Centrum Sectie Neurologie Locatie Amersfoort,033 850 6070,Maatweg 3 3813TZ AMERSFOORT,Not available
MKIN Locatie Amersfoort Neurologie,020 261 2560,Databankweg 26 3821AL AMERSFOORT,Not available
RijbewijsBelang Locatie Amersfoort Neurologie,Not available,Databankweg 26 3821AL AMERSFOORTRegus Amersfoort A1,info@rijbewijsbelang.nl
Dhr. dr. P.H.P. Jansen,06 12 12 29 91,Ruimtevaart 22 -243824MX AMERSFOORTVan der Valk Vitaal in het Van der Valk Hotel Amersfoort A1,neurokeuringcbr@gmail.com
Dhr. dr. P.H.P. Jansen,06 12 12 29 91,Laan van Westroijen 6 4003AZ TIELRegus Tiel,neurokeuringcbr@gmail.com
MKIN Locatie Vianen Neurologie,020 261 2560,Lange Dreef 11 4131NJ VIANEN UT,Not available
Admiraal De Ruyter Ziekenhuis/Neurologie Zeeland Locatie Vlissingen Maatschap Neurologie,088 125 7355,Koudekerkseweg 88 4382EE VLISSINGENLocatie Vlissingen,Not available
MKIN Locatie Vlissingen Neurologie,020 261 2560,Industrieweg 1 -34382NA VLISSINGEN,Not available
Admiraal de Ruyter Ziekenhuis/Neurologie Zeeland Locatie Goes Maatschap Neurologie,088 125 0000,s-Gravenpolderseweg 114 4462RA GOESLocatie Goes,Not available
MKIN Locatie Bergen op Zoom Neurologie,020 261 2560,Zuidzijde Haven 39 a4611HC BERGEN OP ZOOM,Not available
MKIN Locatie Roosendaal Neurologie,020 261 2560,Laan van Brabant 22 4701BK ROOSENDAAL,Not available
MKIN Locatie Breda Neurologie,020 261 2560,Verlengde Poolseweg 16 4818CL BREDA,Not available
MKIN Locatie Tilburg Neurologie,020 261 2560,Hart van Brabantlaan 12 -145038JL TILBURG,Not available
Elisabeth TweeSteden Ziekenhuis (ETZ) Vakgroep Neurologie,013 221 0140,Dr. Deelenlaan 5 5042AD TILBURG,Not available
RijbewijsBelang Locatie Den Bosch Neurologie,Not available,Stationsplein 91 -1055211BM 'S-HERTOGENBOSCH,info@rijbewijsbelang.nl
MKIN Locatie Den Bosch Neurologie,020 261 2560,Pettelaarpark 84 5216PP 'S-HERTOGENBOSCH,Not available
Jeroen Bosch Ziekenhuis 's-Hertogenbosch Maatschap Neurologie,073 553 2000,Henri Dunantstraat 1 5223GZ 'S-HERTOGENBOSCH,Not available
Upendo Dr. G.J.D. Hengstman,085 041 0755,Bosscheweg 149 5282WV BOXTEL,Not available
Expertisecentrum Neurologie Locatie Veldhoven,040 230 6853,Provincialeweg 44 5503HG VELDHOVEN,Not available
Expertise Centrum Neurologie Locatie De Tongelreep,040 230 6853,Antoon Coolenlaan 1 -035644RX EINDHOVEN,info@behandelcentrumneurologie.nl
MKIN Locatie Eindhoven Neurologie,020 261 2560,Flight Forum 40 5657DB EINDHOVEN,Not available
Expertise Centrum Neurologie Locatie Het Atrium,040 230 6853,Langstraat 1 5664GE GELDROPHet Atrium Geldrop,info@behandelcentrumneurologie.nl
Elkerliek ZiekenhuisLocatie Helmond Maatschap Neurologie,0492 595 954,Wesselmanlaan 25 5707HA HELMOND,Not available
Expertise Centrum Neurologie (BCN),040 230 6853,Bakelgeertstraat 68 5831CV BOXMEER,info@behandelcentrumneurologie.nl
MKIN Locatie Venlo Neurologie,020 261 2560,Kaldenkerkerweg 20 5913AE VENLO,Not available
Expertisecentrum Neurologie Locatie Venlo,040 230 6853,Veestraat 5 c5914RJ VENLO,Not available
MKIN Locatie Weert Neurologie,020 261 2560,Vogelsbleek 5 6001BE WEERT,Not available
Expertisecentrum Neurologie Locatie Weert,040 230 6853,Patronaatsplein 7 6001GX WEERT,Not available
MKIN Locatie Roermond Neurologie,020 261 2560,Looskade 20 6041LE ROERMOND,Not available
Laurentius Ziekenhuis Maatschap Neurologie,0475 382 771,Mgr. Driessenstraat 6 6043CV ROERMOND,Not available
MKIN Locatie Sittard Neurologie,020 261 2560,Transportlaan 1 1516163CX GELEEN,Not available
Dhr. dr. P.L.I. Dellemijn,040 230 6853,Van Akenstraat 9 6164BB GELEEN,Not available
MKIN Locatie Geleen Neurologie,020 261 2560,Robert Schumandomein 2 6229ES MAASTRICHT,Not available
Expertisecentrum Neurologie Locatie Heerlen,040 230 6853,Vullingsweg 70 6418HV HEERLEN,Not available
Canisius-Wilhelmina Ziekenhuis Maatschap Neurologie,024 365 8210,Weg door Jonkerbos 100 6532SZ NIJMEGEN,Not available
MKIN Locatie Nijmegen Neurologie,020 261 2560,Jonkerbosplein 52 6534AB NIJMEGEN,Not available
MKIN Locatie Arnhem Neurologie,020 261 2560,Nieuwe Stationsstraat 20 6811KS ARNHEM,Not available
Rijnstate ZiekenhuisLocatie ArnhemMaatschap Neurologie,088 005 7722,Wagnerlaan 55 6815AD ARNHEM,Not available
RijbewijsBelang Locatie Arnhem Neurologie,Not available,Mr B.M. Teldersstraat 7 6842CT ARNHEMRegus Arnhem Business Park,info@rijbewijsbelang.nl
MKIN Locatie Zutphen Neurologie,020 261 2560,Piet Heinstraat 11 7204JN ZUTPHEN,Not available
MKIN Locatie Apeldoorn Neurologie,020 261 2560,Het Rietveld 55 a7321CT APELDOORN,Not available
RijbewijsBelang Locatie Apeldoorn Neurologie,Not available,Het Rietveld 55 A7321CT APELDOORNRegus Apeldoorn Business Park,info@rijbewijsbelang.nl
MKIN Locatie Deventer Neurologie,020 261 2560,Keulenstraat 12 7418ET DEVENTER,Not available
MKIN Locatie Enschede Neurologie,020 261 2560,Capitool 10 7521PL ENSCHEDE,Not available
MKIN Locatie Almelo Neurologie,020 261 2560,Bedrijvenpark Twente 305 7602KL ALMELO,Not available
MKIN Locatie Emmen Neurologie,020 261 2560,Hoenderkamp 20 7812VZ EMMEN,Not available
Mw. dr. E.M.P.E. Zeinstra,0613474514,van Limburg Stirumstraat 132 7901AT HOOGEVEENDe keuring vindt plaats in het Medisch Centrum Eikstaete,Not available
MKIN Locatie Hoogeveen Neurologie,020 261 2560,De Vos van Steenwijklaan 75 7902NP HOOGEVEEN,Not available
Mw. dr. E.M.P.E. Zeinstra,0613474514,Schoolstraat 1 7941CA MEPPEL,Not available
MKIN Locatie Meppel Neurologie,020 261 2560,Zuideinde 18 a7941GH MEPPEL,Not available
Isala Diaconessenhuis Meppel Maatschap Neurologen,088 624 24 58,Reggersweg 2 7943KC MEPPEL,Not available
Neurexperts,06 45 78 86 36,Van 't Hofflaan 9 8024BN ZWOLLE,neurexperts@gmail.com
MKIN Locatie Zwolle Neurologie,020 261 2560,Grote Voort 293 a8041BL ZWOLLE,Not available
RijbewijsBelang Locatie Zwolle Neurologie,Not available,Grote Voort 293 A8041BL ZWOLLERegus Zwolle Business Park,info@rijbewijsbelang.nl
MKIN Locatie Lelystad Neurologie,020 261 2560,Zaanstraat 6 n8226ND LELYSTAD,Not available
Mw. dr. E.M.P.E. Zeinstra,0613474514,Emmeloordseweg 2 B8316AV MARKNESSEDe keuring vindt plaats in de Fysiotherapiepraktijk van Putten,Not available
MKIN Locatie Heerenveen Neurologie,020 261 2560,It Hege Stik 1 8445PZ HEERENVEEN,Not available
MKIN Locatie Leeuwarden Neurologie,020 261 2560,James Wattstraat 4 8912AR LEEUWARDEN,Not available
Noordelijke Neurologen Consultancy MCL t.a.v. poli neurologie,058 286 6666,Henri Dunantweg 2 8934AD LEEUWARDEN,Not available
MKIN Locatie Assen Neurologie,020 261 2560,Stationsplein 10 9401LB ASSEN,Not available
Medisch Expertise en Advies Centrum (MEAC)Maatschap Neurologie,0592 343 937,Noorderstaete 22 9402XB ASSEN,neurexperts@gmail.com
